UserID,ID,rating
233,300003,5
233,300006,4
233,300001,4
233,300014,5
233,300006,5
233,300006,5
233,300013,5
233,300023,5
233,300009,3
233,300012,3
234,300005,5
234,300019,1
234,300003,2
234,300007,5
234,300009,1
234,300010,4
234,300007,3
234,300011,3
234,300012,3
234,300014,5
235,300002,3
235,300011,3
235,300013,4
235,300008,3
235,300001,4
235,300001,2
235,300006,3
235,300003,5
235,300010,2
235,300002,2
236,300012,1
236,300008,3
236,300003,1
236,300004,1
236,300010,5
236,300000,2
236,300009,4
236,300012,1
236,300006,4
236,300011,5
237,300003,5
237,300003,3
237,300014,2
237,300004,1
237,300009,1
237,300010,5
237,300010,3
237,300014,1
237,300004,1
237,300002,3
238,300008,2
238,300013,4
238,300001,3
238,300010,3
238,300004,3
238,300002,4
238,300006,4
238,300011,3
238,300013,5
238,300009,4
239,300008,4
239,300006,4
239,300004,5
239,300004,3
239,300014,2
239,300000,5
239,300000,4
239,300004,5
239,300005,1
239,300003,5
240,300000,4
240,300009,3
240,300002,4
240,300004,1
240,300003,1
240,300006,3
240,300001,4
240,300010,1
240,300008,4
240,300013,3
241,300001,5
241,300005,5
241,300009,1
241,300014,5
241,300012,5
241,300014,5
241,300007,5
241,300007,5
241,300014,5
241,300011,5
242,300000,3
242,300004,5
242,300003,3
242,300007,3
242,300003,3
242,300014,3
242,300013,3
242,300008,2
242,300003,3
242,300310,3
243,300323,4
243,300300,3
243,300306,4
243,300315,3
243,300321,1
243,300312,5
243,300302,3
243,300317,3
243,300301,1
243,300309,3
244,300316,3
244,300313,2
244,300301,4
244,300307,4
244,300306,4
244,300304,4
244,300322,3
244,300315,3
244,300317,3
244,300300,4
245,300303,4
245,300312,5
245,300312,4
245,300310,5
245,300303,2
245,300315,5
245,300300,4
245,300324,3
245,300306,4
245,300306,4
246,300311,3
246,300303,5
246,300302,3
246,300304,1
246,300319,4
246,300313,3
246,300312,5
246,300315,4
246,300306,5
246,300303,4
247,300310,5
247,300321,4
247,300304,3
247,300314,1
247,300316,1
247,300310,5
247,300324,1
247,300311,3
247,300304,4
247,300302,1
248,300324,2
248,300302,1
248,300320,1
248,300312,1
248,300319,3
248,300315,1
